cust_code,first_shop_date,last_shop_date,previous_shop_date,dur_from_last_date,weekday_count,holiday_count,shop_morning_count,shop_afternoon_count,shop_evening_count,shop_night_count,no_of_visit,mtbp,no_visit_week,avg_weekly_visit,percent_active_weeks,total_spend,avg_weekly_spend,avg_spend,std_spend,spend_last_1_mth,spend_last_3_mth,spend_last_6_mth,arpu,avg_prod40_d1_spend,avg_prod40_d2_spend,avg_prod40_d3_spend,avg_prod40_d4_spend,avg_prod40_d5_spend,avg_prod40_d6_spend,avg_prod40_d7_spend,avg_prod40_d8_spend,avg_prod40_d9_spend,prop_basket_s,prop_basket_m,prop_basket_l,prop_small_shop,prop_full_shop,prop_top_up,avg_dom_fresh_spend,avg_dom_mixed_spend,avg_dom_grocery_spend,avg_dom_nonfood_spend,cust_lifestage
CUST0000914256,3/7/2007,3/7/2007,,487,1,0,0,1,0,1,1,0,1,1,0.85,22.8,22.8,22.8,3.53,0,0,0,22.8,0,6.64,1.72,0,0,0,0,14.44,0,0,10,0,10,0,0,17.21,0,5.59,0,
CUST0000483884,7/3/2007,7/7/2007,7/3/2007,365,1,1,2,0,0,0,2,2,1,1,0.85,8.65,8.65,8.65,0.75,0,0,0,8.65,0,3.34,2.41,0,2.9,0,0,0,0,0,7,0,7,0,0,0,5.34,0,3.31,YF
CUST0000925446,8/6/2007,8/6/2007,,335,1,0,1,0,0,0,1,0,1,1,0.85,8.67,8.67,8.67,0.48,0,0,0,8.67,1.93,6.74,0,0,0,0,0,0,0,0,7,0,7,0,0,8.67,0,0,0,OA
CUST0000446638,3/2/2007,3/2/2007,,492,1,0,1,0,0,0,1,0,1,1,0.85,10.23,10.23,10.23,1.09,0,0,0,10.23,0,9.36,0.87,0,0,0,0,0,0,0,8,0,8,0,0,10.23,0,0,0,YF
CUST0000733356,9/16/2006,9/16/2006,,659,0,1,0,0,1,0,1,0,1,1,0.85,10.15,10.15,10.15,1.21,0,0,0,10.15,3.78,6.36,0,0,0.01,0,0,0,0,0,0,8,8,0,0,10.15,0,0,0,OA
CUST0000400528,11/2/2006,11/2/2006,,612,1,0,0,0,1,0,1,0,1,1,0.85,12.12,12.12,12.12,1.59,0,0,0,12.12,0.79,0,0,0.6,10.73,0,0,0,0,1,7,0,8,0,0,0,0,0,12.12,
CUST0000288170,8/15/2007,8/18/2007,8/15/2007,323,1,1,1,0,1,1,2,1.5,1,1,0.85,11.61,11.61,11.61,1.14,0,0,0,11.61,2.11,1.14,6.04,1.77,0.55,0,0,0,0,1,7,0,8,0,0,0,0,9.84,1.77,OA
CUST0000688303,6/23/2007,6/23/2007,,379,0,1,0,1,0,0,1,0,1,1,0.85,17.71,17.71,17.71,2.21,0,0,0,17.71,0,12.91,0,0,0.03,0,0,0,4.77,0,7,0,7,0,0,17.71,0,0,0,OT
CUST0000889222,9/10/2007,9/16/2007,9/14/2007,294,3,1,1,0,3,0,4,1.5,1,1,0.85,74.84,74.84,74.84,1.05,0,0,0,74.84,2.18,23.15,20.03,13.77,15.71,0,0,0,0,4,13,35,17,35,0,0,46.65,3.11,25.08,OT
CUST0000389099,4/6/2007,4/6/2007,,457,1,0,0,0,0,1,1,0,1,1,0.85,10.69,10.69,10.69,0.83,0,0,0,10.69,0,9.81,0.88,0,0,0,0,0,0,0,9,0,9,0,0,10.69,0,0,0,OT
CUST0000774376,9/25/2006,10/1/2006,9/30/2006,644,2,2,0,1,1,2,4,1.5,1,1,0.85,31.46,31.46,31.46,2.27,0,0,0,31.46,0,23.64,7.82,0,0,0,0,0,0,2,5,8,7,0,8,8,23.46,0,0,OT
CUST0000244507,3/26/2007,3/31/2007,3/29/2007,463,2,1,0,1,0,2,3,1.67,1,1,0.85,18.03,18.03,18.03,1.73,0,0,0,18.03,0,15.7,0.01,0,2.32,0,0,0,0,3,5,0,8,0,0,16.68,0,0,1.35,OT
CUST0000985342,7/31/2006,8/1/2006,7/31/2006,705,2,0,0,0,2,0,2,0.5,1,1,0.85,15.41,15.41,15.41,1.91,0,0,0,15.41,2.04,12.52,0.85,0,0,0,0,0,0,2,7,0,9,0,0,15.41,0,0,0,YF
CUST0000526252,6/22/2006,7/9/2006,7/8/2006,728,4,2,4,2,0,0,6,2.83,2,0.5,1.71,17.55,8.77,17.55,0.55,0,0,0,17.55,0,13.06,4.49,0,0,0,0,0,0,7,9,0,16,0,0,9.61,4.97,2.97,0,
CUST0000702501,9/22/2007,9/30/2007,9/22/2007,280,0,2,0,1,0,1,2,4,2,0.5,1.71,8.24,4.12,8.24,0.49,0,0,0,8.24,2.48,5.73,0,0,0.03,0,0,0,0,0,8,0,8,0,0,8.24,0,0,0,YF
CUST0000391212,8/30/2007,10/25/2007,9/2/2007,255,2,1,0,1,2,0,3,18.67,2,1,1.71,21.77,10.88,10.88,1.88,0,0,0,21.77,0,2.4,2.72,0,0,11.54,0,0,0,0,6.5,0,6.5,0,0,8.8,0,6.48,0,YF
CUST0000477658,3/22/2008,4/4/2008,4/3/2008,93,2,1,1,1,0,1,3,4.33,2,0.5,1.71,3.37,1.69,3.37,0.36,0,0,3.37,3.37,0,1.35,2.02,0,0,0,0,0,0,3,4,0,7,0,0,1.04,0,2.33,0,OT
CUST0000894238,6/23/2007,7/1/2007,6/23/2007,371,0,2,0,0,1,1,2,4,2,0.5,1.71,65.26,32.63,65.26,5.16,0,0,0,65.26,0,0,0,0,2.11,0,0,63.15,0,0,7,0,7,0,0,0,0,65.26,0,YA
CUST0000233371,12/26/2007,5/9/2008,12/26/2007,58,2,0,0,0,0,2,2,67.5,2,1,1.71,23.36,11.68,11.68,1.09,0,11.68,11.68,23.36,0.91,6.46,0,0,4.31,0,0,0,0,0,7,0,7,0,0,11.68,0,0,0,YF
CUST0000084041,3/5/2007,3/21/2007,3/5/2007,473,2,0,0,1,1,0,2,8,2,0.5,1.71,9.81,4.91,9.81,0.54,0,0,0,9.81,1.24,6.7,1.87,0,0,0,0,0,0,1,8,0,9,0,0,9.81,0,0,0,YF
CUST0000268081,10/4/2007,10/13/2007,10/4/2007,267,1,1,0,2,0,0,2,4.5,2,0.5,1.71,14.36,7.18,14.36,0.92,0,0,0,14.36,8,1.63,4.73,0,0,0,0,0,0,0,7,3,7,0,3,12.86,1.5,0,0,
CUST0000121847,2/14/2008,2/28/2008,2/14/2008,129,2,0,0,0,2,1,2,7,2,0.5,1.71,70.82,35.41,70.82,2.02,0,0,70.82,70.82,1.37,48.17,12.03,0.94,8.31,0,0,0,0,0,0,41,8,20,13,63.36,0,7.46,0,OF
CUST0000158040,11/22/2007,12/22/2007,11/22/2007,197,1,1,1,1,0,0,2,15,2,0.5,1.71,15.74,7.87,15.74,0.69,0,0,0,15.74,2.41,6.89,1.53,0,4.91,0,0,0,0,0,14,0,14,0,0,6.44,9.3,0,0,OT
CUST0000496202,11/7/2006,12/1/2006,11/7/2006,583,2,0,1,1,0,0,2,12,2,0.5,1.71,24.43,12.21,24.43,1.93,0,0,0,24.43,6.75,16.71,0,0.2,0.77,0,0,0,0,0,13,0,7,0,6,24.43,0,0,0,OA
CUST0000806673,5/6/2007,6/3/2007,5/6/2007,399,0,2,1,0,1,0,2,14,2,0.5,1.71,13.18,6.59,13.18,1.3,0,0,0,13.18,1.03,10.84,1.31,0,0,0,0,0,0,0,9,0,9,0,0,11.06,0,2.12,0,
CUST0000012035,1/16/2007,1/22/2007,1/16/2007,531,2,0,1,1,1,0,2,3,2,0.5,1.71,28.15,14.07,28.15,2.6,0,0,0,28.15,0,4.45,0.67,0,23.03,0,0,0,0,0,11,0,7,0,4,5.47,0,0,22.68,
CUST0000117092,7/16/2006,4/25/2008,1/21/2007,72,1,2,1,0,2,0,3,216.33,3,1,2.56,8.96,2.99,2.99,0.73,0,1.89,1.89,8.96,1.66,0,5.18,0.23,0,0,0,0,0,1.33,2,0,3.33,0,0,1.89,0,5.18,0,OT
CUST0000702038,3/10/2008,4/2/2008,3/26/2008,95,3,0,0,2,1,0,3,7.67,3,0.33,2.56,26.48,8.83,26.48,0.71,0,0,26.48,26.48,2.69,17.69,2.9,0,3.2,0,0,0,0,0,10,14,10,0,14,21.43,0,0,5.05,OT
CUST0000978819,9/15/2006,8/17/2007,4/6/2007,324,4,2,2,1,3,0,6,56,3,1,2.56,29.46,9.82,9.82,0.89,0,0,0,29.46,0,6.24,3.02,0,0.56,0,0,0,0,1,5.33,2,6.33,0,2,6.76,7.85,7,1.09,OT
CUST0000125235,8/30/2006,7/15/2007,12/25/2006,357,2,1,1,0,1,1,3,106.33,3,1,2.56,9.39,3.13,3.13,1.65,0,0,0,9.39,0,0,0,0,1.23,4.08,0,0,0,1,0,0,0.33,0,0,0,0,0,1.23,YF
CUST0000563743,12/18/2006,5/29/2008,3/20/2008,38,4,0,0,1,2,1,4,132,3,1,2.56,32.96,10.99,10.99,2.75,0,6.74,13.48,32.96,1.54,4.57,2.42,0,0,0,0,12.2,0,0,5.67,0,5.67,0,0,10,0,2.96,0,OT
CUST0000912103,5/27/2006,6/10/2008,2/16/2008,26,1,2,0,1,2,0,3,248.33,3,1,2.56,146.32,48.77,48.77,2.95,63.78,63.78,82.54,146.32,0,35.89,12.49,18.76,0.36,0,0,15.04,0,0.33,0,20.67,0.33,20.67,0,0,63.78,0,18.76,
CUST0000387071,7/11/2006,6/4/2008,8/4/2006,32,5,0,0,2,3,0,5,138.8,3,1,2.56,37.75,12.58,12.58,1.19,0,5.08,5.08,37.75,0,10.24,1.26,1.21,1.45,0,0,0,1.65,0.67,2.67,3.67,3.33,0,3.67,11.14,2.69,1.65,0,PE
CUST0000171269,8/2/2007,4/3/2008,4/1/2008,94,4,1,1,2,1,1,5,49,3,1,2.56,156.46,52.15,52.15,2.65,0,0,23.65,156.46,4.92,34.94,12.34,1.33,2.95,0,0,2.96,1.11,0.33,1.67,22,0.33,22,1.67,69.27,55.1,16.05,0,OT
CUST0000265419,2/6/2008,4/5/2008,4/1/2008,92,2,2,3,0,1,0,4,14.75,3,0.33,2.56,24.04,8.01,24.04,1.08,0,0,24.04,24.04,0,18.91,2.54,0,0.67,1.92,0,0,0,1,16,0,16,0,0,23.08,0,0,0,OT
CUST0000279910,9/15/2006,8/9/2007,2/8/2007,332,3,0,0,0,2,1,3,109.33,3,1,2.56,35.27,11.76,11.76,1.37,0,0,0,35.27,3.63,6.83,3.05,0,5.06,0,0,0,0,0.33,1.33,5,0.33,0,6.33,12.23,10.8,0,0,
CUST0000867522,5/28/2006,2/14/2008,2/12/2008,143,3,1,0,1,2,1,4,156.75,3,1,2.56,46.86,15.62,15.62,3.93,0,0,33.22,46.86,2.58,4.62,1.71,18.76,1.84,0,0,5.53,0,0.67,2.67,3.67,3.33,0,3.67,9.01,8.24,0,20.6,
CUST0000797575,11/1/2006,6/13/2008,11/18/2006,23,2,1,1,2,0,0,3,196.67,3,0.67,2.56,20.16,6.72,10.08,1.97,3.6,3.6,3.6,20.16,0,3.28,12.96,0,0.32,0,0,0,0,0,5.5,0,5.5,0,0,3.6,0,12.96,0,OA
CUST0000224172,4/24/2007,6/16/2008,9/1/2007,20,3,1,0,4,0,0,4,104.75,3,1,2.56,27.61,9.2,9.2,1.78,1.61,1.61,1.61,27.61,0.5,8.74,0.9,0,0,0,0,0,0,0.67,4,0,4.67,0,0,9.2,0,0,0,OT
CUST0000905298,8/31/2006,6/15/2008,3/8/2007,21,2,1,2,1,0,0,3,218,3,1,2.56,39.17,13.06,13.06,2.45,18.06,18.06,18.06,39.17,1.41,0,0,0,12.12,0,0,0,0,0.67,2.67,0,3.33,0,0,0,0,0,13.06,
CUST0000028656,8/17/2007,4/15/2008,11/9/2007,82,3,0,0,1,0,2,3,80.67,3,1,2.56,29.49,9.83,9.83,1.12,0,14.74,14.74,29.49,0,8.35,5.23,0,0.78,0,0,0,0,0.33,0,6.67,0.33,0,6.67,0,14.74,0,0.01,YF
CUST0000747199,2/25/2007,3/23/2008,11/5/2007,105,1,2,1,0,0,2,3,130.67,3,1,2.56,40.78,13.59,13.59,5.58,0,0,30.93,40.78,11.05,2.81,2.9,0,2.17,0,0,0,0,0.33,1.33,2.67,0.33,0,4,30.93,8.96,0.89,0,YA
CUST0000896246,9/6/2006,6/27/2008,8/17/2007,9,5,1,0,4,1,1,6,110,3,1,2.56,64.82,21.61,21.61,3.38,11.65,11.65,11.65,64.82,0,13.99,1.13,0,1.88,0,0,18.7,0,0.67,9,0,9.67,0,0,14.19,22.24,0,0,OT
CUST0000012198,9/30/2006,9/7/2007,9/5/2007,303,4,1,0,0,1,4,5,68.4,3,1,2.56,7.43,2.48,2.48,0.54,0,0,0,7.43,0.15,2.13,0.78,0,0.35,0,0,0,0,1,3.33,0,4.33,0,0,2.98,1.14,0.32,0,
